game_id,game_date,season,team_id,team_abbr,matchup,win_loss,points,fg_pct,ft_pct,fg3_pct,assists,rebounds,steals,blocks,turnovers,plus_minus,is_home,opponent_abbr,win
0022401164,2025-04-09,2024-25,1610612756,PHX,PHX vs. OKC,L,112,0.483,0.684,0.357,31,38,10,3,13,-13.0,1,OKC,0
0022401147,2025-04-08,2024-25,1610612739,CLE,CLE vs. CHI,W,135,0.51,0.615,0.5,35,45,13,3,12,22.0,1,CHI,1
0022401152,2025-04-08,2024-25,1610612750,MIN,MIN @ MIL,L,103,0.461,0.889,0.325,25,42,4,3,13,-7.0,0,MIL,0
0022401151,2025-04-08,2024-25,1610612738,BOS,BOS @ NYK,W,119,0.46,0.8,0.388,26,38,8,4,15,2.0,0,NYK,1
0022401153,2025-04-08,2024-25,1610612760,OKC,OKC vs. LAL,W,136,0.5,0.7,0.486,26,44,9,5,6,16.0,1,LAL,1
0022401154,2025-04-08,2024-25,1610612756,PHX,PHX vs. GSW,L,95,0.398,0.867,0.279,22,41,12,4,19,-38.0,1,GSW,0
0022401152,2025-04-08,2024-25,1610612749,MIL,MIL vs. MIN,W,110,0.476,0.72,0.333,27,43,8,2,11,7.0,1,MIN,1
0022401151,2025-04-08,2024-25,1610612752,NYK,NYK vs. BOS,L,117,0.475,0.625,0.289,28,52,8,6,11,-2.0,1,BOS,0
0022401145,2025-04-07,2024-25,1610612748,MIA,MIA vs. PHI,W,117,0.506,0.733,0.444,26,47,7,6,13,12.0,1,PHI,1
0022401140,2025-04-06,2024-25,1610612752,NYK,NYK vs. PHX,W,112,0.541,0.833,0.429,28,41,6,3,14,14.0,1,PHX,1
0022401140,2025-04-06,2024-25,1610612756,PHX,PHX @ NYK,L,98,0.424,0.842,0.118,20,35,11,3,12,-14.0,0,NYK,0
0022401135,2025-04-06,2024-25,1610612760,OKC,OKC vs. LAL,L,99,0.433,0.75,0.324,20,34,9,3,7,-27.0,1,LAL,0
0022400617,2025-04-06,2024-25,1610612749,MIL,MIL @ NOP,W,111,0.467,0.636,0.344,29,51,10,4,7,4.0,0,NOP,1
0022401142,2025-04-06,2024-25,1610612743,DEN,DEN vs. IND,L,120,0.538,0.667,0.258,33,47,2,7,13,-5.0,1,IND,0
0022401138,2025-04-06,2024-25,1610612739,CLE,CLE vs. SAC,L,113,0.523,0.579,0.263,31,39,11,5,16,-7.0,1,SAC,0
0022401137,2025-04-06,2024-25,1610612738,BOS,BOS vs. WAS,W,124,0.49,0.667,0.462,33,62,6,5,13,34.0,1,WAS,1
0022401131,2025-04-05,2024-25,1610612748,MIA,MIA vs. MIL,L,115,0.422,0.875,0.326,24,52,4,1,10,-6.0,1,MIL,0
0022401128,2025-04-05,2024-25,1610612752,NYK,NYK @ ATL,W,121,0.536,0.842,0.517,32,38,8,5,13,16.0,0,ATL,1
0022401131,2025-04-05,2024-25,1610612749,MIL,MIL @ MIA,W,121,0.517,0.793,0.333,29,47,6,3,9,6.0,0,MIA,1
0022401132,2025-04-05,2024-25,1610612742,DAL,DAL @ LAC,L,104,0.436,0.763,0.259,18,41,5,8,15,-31.0,0,LAC,0
0022401130,2025-04-05,2024-25,1610612750,MIN,MIN @ PHI,W,114,0.506,0.724,0.324,22,47,5,7,15,5.0,0,PHI,1
0022401120,2025-04-04,2024-25,1610612756,PHX,PHX @ BOS,L,103,0.441,0.818,0.324,24,40,7,2,6,-20.0,0,BOS,0
0022401123,2025-04-04,2024-25,1610612760,OKC,OKC @ HOU,L,111,0.483,0.8,0.371,24,33,7,6,15,-14.0,0,HOU,0
0022401120,2025-04-04,2024-25,1610612738,BOS,BOS vs. PHX,W,123,0.517,0.864,0.359,28,49,1,4,7,20.0,1,PHX,1
0022401124,2025-04-04,2024-25,1610612739,CLE,CLE @ SAS,W,114,0.471,0.714,0.431,31,44,6,4,15,1.0,0,SAS,1
0022401127,2025-04-04,2024-25,1610612742,DAL,DAL @ LAC,L,91,0.455,0.654,0.2,19,39,7,0,17,-23.0,0,LAC,0
0022401125,2025-04-04,2024-25,1610612743,DEN,DEN @ GSW,L,104,0.541,0.923,0.387,28,38,8,4,25,-14.0,0,GSW,0
0022401114,2025-04-03,2024-25,1610612748,MIA,MIA vs. MEM,L,108,0.411,0.842,0.424,24,47,11,8,11,-2.0,1,MEM,0
0022401113,2025-04-03,2024-25,1610612750,MIN,MIN @ BKN,W,105,0.5,0.667,0.31,27,45,6,10,17,15.0,0,BKN,1
0022401115,2025-04-03,2024-25,1610612749,MIL,MIL @ PHI,W,126,0.561,0.667,0.516,32,40,7,7,11,13.0,0,PHI,1
0022401109,2025-04-02,2024-25,1610612742,DAL,DAL vs. ATL,W,120,0.53,0.81,0.455,27,42,7,8,13,2.0,1,ATL,1
0022401103,2025-04-02,2024-25,1610612739,CLE,CLE vs. NYK,W,124,0.532,0.857,0.324,23,44,8,5,13,19.0,1,NYK,1
0022401106,2025-04-02,2024-25,1610612738,BOS,BOS vs. MIA,L,103,0.448,0.813,0.279,24,43,3,6,13,-21.0,1,MIA,0
0022401110,2025-04-02,2024-25,1610612743,DEN,DEN vs. SAS,L,106,0.396,0.68,0.295,24,58,7,4,12,-7.0,1,SAS,0
0022401108,2025-04-02,2024-25,1610612760,OKC,OKC vs. DET,W,119,0.438,0.806,0.263,25,46,12,11,10,16.0,1,DET,1
0022401103,2025-04-02,2024-25,1610612752,NYK,NYK @ CLE,L,105,0.444,0.824,0.306,24,39,7,2,14,-19.0,0,CLE,0
0022401106,2025-04-02,2024-25,1610612748,MIA,MIA @ BOS,W,124,0.518,0.889,0.467,28,34,9,2,4,21.0,0,BOS,1
0022401102,2025-04-01,2024-25,1610612743,DEN,DEN vs. MIN,L,139,0.547,0.75,0.353,33,45,7,7,16,-1.0,1,MIN,0
0022401101,2025-04-01,2024-25,1610612749,MIL,MIL vs. PHX,W,133,0.689,0.933,0.586,32,29,6,5,18,10.0,1,PHX,1
0022401098,2025-04-01,2024-25,1610612752,NYK,NYK vs. PHI,W,105,0.424,0.808,0.387,23,44,10,4,18,14.0,1,PHI,1
0022401101,2025-04-01,2024-25,1610612756,PHX,PHX @ MIL,L,123,0.478,0.81,0.4,26,33,6,0,13,-10.0,0,MIL,0
0022401102,2025-04-01,2024-25,1610612750,MIN,MIN @ DEN,W,140,0.468,0.68,0.38,35,52,5,2,14,1.0,0,DEN,1
0022401094,2025-03-31,2024-25,1610612760,OKC,OKC vs. CHI,W,145,0.531,0.783,0.535,39,44,11,6,14,28.0,1,CHI,1
0022401092,2025-03-31,2024-25,1610612748,MIA,MIA @ WAS,W,120,0.505,0.708,0.281,29,62,12,2,17,26.0,0,WAS,1
0022401093,2025-03-31,2024-25,1610612738,BOS,BOS @ MEM,W,117,0.406,0.947,0.339,30,54,4,3,12,14.0,0,MEM,1
0022401095,2025-03-31,2024-25,1610612742,DAL,DAL vs. BKN,L,109,0.477,0.586,0.333,29,49,4,3,8,-4.0,1,BKN,0
0022401083,2025-03-30,2024-25,1610612749,MIL,MIL vs. ATL,L,124,0.476,0.791,0.343,21,36,5,2,14,-21.0,1,ATL,0
0022401082,2025-03-30,2024-25,1610612752,NYK,NYK vs. POR,W,110,0.536,0.769,0.4,27,44,10,10,13,17.0,1,POR,1
0022401081,2025-03-30,2024-25,1610612739,CLE,CLE vs. LAC,W,127,0.505,0.783,0.333,33,45,11,3,10,5.0,1,LAC,1
0022401088,2025-03-30,2024-25,1610612756,PHX,PHX vs. HOU,L,109,0.483,0.882,0.313,25,39,8,5,19,-39.0,1,HOU,0
0022401084,2025-03-30,2024-25,1610612750,MIN,MIN vs. DET,W,123,0.473,0.742,0.387,24,59,3,9,9,19.0,1,DET,1
0022401080,2025-03-29,2024-25,1610612738,BOS,BOS @ SAS,W,121,0.479,0.778,0.333,32,54,2,4,9,10.0,0,SAS,1
0022401079,2025-03-29,2024-25,1610612760,OKC,OKC vs. IND,W,132,0.511,0.826,0.472,26,47,9,4,9,21.0,1,IND,1
0022401076,2025-03-29,2024-25,1610612748,MIA,MIA @ PHI,W,118,0.473,0.769,0.465,33,47,12,4,9,23.0,0,PHI,1
0022401077,2025-03-29,2024-25,1610612742,DAL,DAL @ CHI,W,120,0.465,0.81,0.3,28,41,9,8,6,1.0,0,CHI,1
