game_id,game_date,home_team_abbr,away_team_abbr,home_win_pct,home_ppg,home_opp_ppg,home_point_diff,away_win_pct,away_ppg,away_opp_ppg,away_point_diff,win_pct_diff,ppg_diff,point_diff_diff,home_win
22200022,2022-10-21,MIA,BOS,0.0,108.0,116.0,-8.0,1.0,126.0,117.0,9.0,-1.0,-18.0,-17.0,0
22200035,2022-10-22,DEN,OKC,0.5,115.0,123.0,-8.0,0.0,108.0,115.0,-7.0,0.5,7.0,-1.0,1
22200041,2022-10-23,OKC,MIN,0.0,112.5,118.5,-6.0,0.5,120.5,120.0,0.5,-0.5,-8.0,-6.5,0
22200072,2022-10-28,BOS,CLE,0.75,116.25,115.25,1.0,0.75,113.25,100.75,12.5,0.0,3.0,-11.5,0
22200075,2022-10-28,MIL,NYK,1.0,108.33333333333333,97.33333333333333,11.0,0.75,122.75,113.5,9.25,0.25,-14.416666666666671,1.75,1
22200086,2022-10-29,DAL,OKC,0.5,120.5,110.25,10.25,0.4,111.4,111.4,0.0,0.09999999999999998,9.099999999999994,10.25,0
22200090,2022-10-30,CLE,NYK,0.8,117.0,105.2,11.799999999999997,0.6,119.8,114.6,5.200000000000003,0.20000000000000007,-2.799999999999997,6.599999999999994,1
22200106,2022-11-01,PHX,MIN,0.8333333333333334,118.66666666666667,106.33333333333334,12.333333333333329,0.5714285714285714,115.14285714285714,113.14285714285714,2.0,0.261904761904762,3.5238095238095326,10.333333333333329,1
22200107,2022-11-02,CLE,BOS,0.8333333333333334,117.66666666666667,105.66666666666667,12.0,0.6666666666666666,116.66666666666667,114.5,2.1666666666666714,0.16666666666666674,1.0,9.833333333333329,1
22200119,2022-11-03,OKC,DEN,0.5714285714285714,112.85714285714286,110.85714285714286,2.0,0.5714285714285714,114.14285714285714,117.0,-2.857142857142861,0.0,-1.2857142857142776,4.857142857142861,0
22200129,2022-11-04,MIN,MIL,0.5,114.125,113.5,0.625,1.0,113.28571428571429,102.0,11.285714285714292,-0.5,0.8392857142857082,-10.660714285714292,0
22200135,2022-11-05,NYK,BOS,0.5,114.0,113.75,0.25,0.625,117.0,115.0,2.0,-0.125,-3.0,-1.75,0
22200136,2022-11-05,MIL,OKC,1.0,113.5,102.0,11.5,0.5,112.5,112.25,0.25,0.5,1.0,11.25,1
22200153,2022-11-07,MIN,NYK,0.5,114.4,114.0,0.4000000000000057,0.4444444444444444,114.44444444444444,115.62222222222222,-1.1777777777777771,0.05555555555555558,-0.04444444444443718,1.5777777777777828,0
22200167,2022-11-09,MIN,PHX,0.4,113.6,115.19999999999999,-1.5999999999999943,0.7,112.4,103.5,8.900000000000006,-0.29999999999999993,1.1999999999999886,-10.5,0
22200168,2022-11-09,OKC,MIL,0.4,109.7,111.8,-2.0999999999999943,0.9,111.4,102.7,8.700000000000003,-0.5,-1.7000000000000028,-10.799999999999997,0
22200176,2022-11-11,BOS,DEN,0.7,118.0,114.36,3.6400000000000006,0.8,118.2,113.76,4.439999999999998,-0.10000000000000009,-0.20000000000000284,-0.7999999999999972,1
22200192,2022-11-13,NYK,OKC,0.5,111.4,115.06,-3.6599999999999966,0.5,113.6,113.0,0.5999999999999943,0.0,-2.1999999999999886,-4.259999999999991,0
22200193,2022-11-13,CLE,MIN,0.7,115.1,108.3,6.799999999999997,0.3,111.4,115.7,-4.299999999999997,0.39999999999999997,3.6999999999999886,11.099999999999994,0
22200201,2022-11-14,BOS,OKC,0.7,119.1,113.96,5.140000000000001,0.6,117.5,114.9,2.5999999999999943,0.09999999999999998,1.5999999999999943,2.5400000000000063,1
22200202,2022-11-14,MIA,PHX,0.5,111.3,109.2,2.0999999999999943,0.7,113.2,104.8,8.400000000000006,-0.19999999999999996,-1.9000000000000057,-6.300000000000011,1
22200219,2022-11-16,DEN,NYK,0.7,117.0,113.16,3.8400000000000034,0.4,111.8,117.36,-5.560000000000002,0.29999999999999993,5.200000000000003,9.400000000000006,0
22200216,2022-11-16,MIL,CLE,0.7,112.4,109.9,2.5,0.6,115.8,110.5,5.299999999999997,0.09999999999999998,-3.3999999999999915,-2.799999999999997,1
22200230,2022-11-18,DAL,DEN,0.6,103.9,104.7,-0.7999999999999972,0.7,116.3,110.25999999999999,6.040000000000006,-0.09999999999999998,-12.399999999999991,-6.840000000000003,1
22200240,2022-11-20,PHX,NYK,0.5,113.7,110.3,3.4000000000000057,0.5,110.9,114.76,-3.8599999999999994,0.0,2.799999999999997,7.260000000000005,1
22200246,2022-11-20,DAL,DEN,0.7,105.5,102.9,2.5999999999999943,0.6,115.2,113.06,2.1400000000000006,0.09999999999999998,-9.700000000000003,0.45999999999999375,0
22200244,2022-11-20,CLE,MIA,0.5,115.3,112.5,2.799999999999997,0.5,111.7,110.4,1.2999999999999972,0.0,3.5999999999999943,1.5,1
22200252,2022-11-21,MIN,MIA,0.4,113.0,115.9,-2.9000000000000057,0.5,109.1,109.8,-0.7000000000000028,-0.09999999999999998,3.9000000000000057,-2.200000000000003,1
22200254,2022-11-21,OKC,NYK,0.4,118.5,120.1,-1.5999999999999943,0.5,110.5,115.16,-4.659999999999997,-0.09999999999999998,8.0,3.0600000000000023,0
22200264,2022-11-23,BOS,DAL,0.9,121.7,113.26,8.439999999999998,0.6,103.8,102.2,1.5999999999999943,0.30000000000000004,17.900000000000006,6.840000000000003,1
22200268,2022-11-23,OKC,DEN,0.3,118.8,122.2,-3.4000000000000057,0.6,113.1,111.55999999999999,1.5400000000000063,-0.3,5.700000000000003,-4.940000000000012,0
