game_id,game_date,season,matchup,team_id,team_abbr,team_name,win_loss,points,fg_pct,ft_pct,fg3_pct,assists,rebounds,turnovers,is_home,opponent_abbr
0022301196,2024-04-14,2022-23,OKC vs. DAL,1610612760,OKC,Oklahoma City Thunder,W,135,0.557,0.813,0.412,38,58,14,1,DAL
0022301197,2024-04-14,2022-23,SAS vs. DET,1610612759,SAS,San Antonio Spurs,W,123,0.538,0.714,0.441,33,54,13,1,DET
0022301195,2024-04-14,2022-23,LAL @ NOP,1610612747,LAL,Los Angeles Lakers,W,124,0.552,0.944,0.379,32,39,14,0,NOP
0022301194,2024-04-14,2022-23,MIN vs. PHX,1610612750,MIN,Minnesota Timberwolves,L,106,0.514,0.806,0.346,22,36,24,1,PHX
0022301188,2024-04-14,2022-23,IND vs. ATL,1610612754,IND,Indiana Pacers,W,157,0.65,0.8,0.528,41,48,14,1,ATL
0022301200,2024-04-14,2022-23,POR @ SAC,1610612757,POR,Portland Trail Blazers,L,82,0.316,0.765,0.156,18,54,17,0,SAC
0022301186,2024-04-14,2022-23,WAS @ BOS,1610612764,WAS,Washington Wizards,L,122,0.476,1.0,0.368,33,36,11,0,BOS
0022301194,2024-04-14,2022-23,PHX @ MIN,1610612756,PHX,Phoenix Suns,W,125,0.547,0.833,0.552,28,32,12,0,MIN
0022301186,2024-04-14,2022-23,BOS vs. WAS,1610612738,BOS,Boston Celtics,W,132,0.573,0.667,0.5,29,48,14,1,WAS
0022301199,2024-04-14,2022-23,HOU @ LAC,1610612745,HOU,Houston Rockets,W,116,0.485,0.357,0.289,31,59,18,0,LAC
0022301195,2024-04-14,2022-23,NOP vs. LAL,1610612740,NOP,New Orleans Pelicans,L,108,0.477,0.786,0.405,26,39,19,1,LAL
0022301189,2024-04-14,2022-23,TOR @ MIA,1610612761,TOR,Toronto Raptors,L,103,0.422,0.857,0.265,23,41,19,0,MIA
0022301198,2024-04-14,2022-23,UTA @ GSW,1610612762,UTA,Utah Jazz,L,116,0.517,0.625,0.412,22,48,19,0,GSW
0022301193,2024-04-14,2022-23,DEN @ MEM,1610612743,DEN,Denver Nuggets,W,126,0.517,0.846,0.333,32,54,17,0,MEM
0022301187,2024-04-14,2022-23,CLE vs. CHA,1610612739,CLE,Cleveland Cavaliers,L,110,0.473,0.667,0.485,30,43,14,1,CHA
0022301190,2024-04-14,2022-23,NYK vs. CHI,1610612752,NYK,New York Knicks,W,120,0.505,0.762,0.375,27,53,21,1,CHI
0022301190,2024-04-14,2022-23,CHI @ NYK,1610612741,CHI,Chicago Bulls,L,119,0.485,0.813,0.258,25,44,12,0,NYK
0022301198,2024-04-14,2022-23,GSW vs. UTA,1610612744,GSW,Golden State Warriors,W,123,0.479,0.826,0.326,35,42,9,1,UTA
0022301189,2024-04-14,2022-23,MIA vs. TOR,1610612748,MIA,Miami Heat,W,118,0.529,0.895,0.25,29,46,19,1,TOR
0022301191,2024-04-14,2022-23,ORL vs. MIL,1610612753,ORL,Orlando Magic,W,113,0.494,0.947,0.314,27,43,11,1,MIL
0022301188,2024-04-14,2022-23,ATL @ IND,1610612737,ATL,Atlanta Hawks,L,115,0.438,0.926,0.333,25,32,15,0,IND
0022301200,2024-04-14,2022-23,SAC vs. POR,1610612758,SAC,Sacramento Kings,W,121,0.494,0.815,0.382,29,51,14,1,POR
0022301192,2024-04-14,2022-23,BKN @ PHI,1610612751,BKN,Brooklyn Nets,L,86,0.386,0.765,0.265,19,42,12,0,PHI
0022301193,2024-04-14,2022-23,MEM vs. DEN,1610612763,MEM,Memphis Grizzlies,L,111,0.45,0.722,0.242,22,43,13,1,DEN
0022301196,2024-04-14,2022-23,DAL @ OKC,1610612742,DAL,Dallas Mavericks,L,86,0.33,0.824,0.205,19,41,14,0,OKC
0022301191,2024-04-14,2022-23,MIL @ ORL,1610612749,MIL,Milwaukee Bucks,L,88,0.4,0.913,0.259,16,34,17,0,ORL
0022301187,2024-04-14,2022-23,CHA @ CLE,1610612766,CHA,Charlotte Hornets,W,120,0.505,0.818,0.475,36,47,9,0,CLE
0022301197,2024-04-14,2022-23,DET @ SAS,1610612765,DET,Detroit Pistons,L,95,0.391,0.75,0.242,17,40,14,0,SAS
0022301192,2024-04-14,2022-23,PHI vs. BKN,1610612755,PHI,Philadelphia 76ers,W,107,0.427,0.733,0.318,30,57,12,1,BKN
0022301199,2024-04-14,2022-23,LAC vs. HOU,1610612746,LAC,LA Clippers,L,105,0.394,0.882,0.216,23,51,12,1,HOU
0022301184,2024-04-12,2022-23,LAC vs. UTA,1610612746,LAC,LA Clippers,L,109,0.448,0.684,0.256,23,44,13,1,UTA
0022301177,2024-04-12,2022-23,MEM vs. LAL,1610612763,MEM,Memphis Grizzlies,L,120,0.453,0.81,0.436,19,42,13,1,LAL
0022301185,2024-04-12,2022-23,PHX @ SAC,1610612756,PHX,Phoenix Suns,W,108,0.526,0.941,0.375,25,41,18,0,SAC
0022301172,2024-04-12,2022-23,WAS vs. CHI,1610612764,WAS,Washington Wizards,L,127,0.523,0.655,0.419,32,39,12,1,CHI
0022301175,2024-04-12,2022-23,NYK vs. BKN,1610612752,NYK,New York Knicks,W,111,0.458,0.84,0.467,21,31,5,1,BKN
0022301179,2024-04-12,2022-23,MIL @ OKC,1610612749,MIL,Milwaukee Bucks,L,107,0.494,0.923,0.367,27,42,17,0,OKC
0022301182,2024-04-12,2022-23,GSW vs. NOP,1610612744,GSW,Golden State Warriors,L,109,0.465,0.762,0.382,27,53,16,1,NOP
0022301180,2024-04-12,2022-23,DEN @ SAS,1610612743,DEN,Denver Nuggets,L,120,0.505,0.9,0.361,31,33,7,0,SAS
0022301179,2024-04-12,2022-23,OKC vs. MIL,1610612760,OKC,Oklahoma City Thunder,W,125,0.528,0.9,0.342,29,38,10,1,MIL
0022301182,2024-04-12,2022-23,NOP @ GSW,1610612740,NOP,New Orleans Pelicans,W,114,0.467,0.625,0.526,24,38,8,0,GSW
0022301180,2024-04-12,2022-23,SAS vs. DEN,1610612759,SAS,San Antonio Spurs,W,121,0.529,0.696,0.455,31,49,18,1,DEN
0022301175,2024-04-12,2022-23,BKN @ NYK,1610612751,BKN,Brooklyn Nets,L,107,0.5,0.737,0.344,22,45,12,0,NYK
0022301183,2024-04-12,2022-23,HOU @ POR,1610612745,HOU,Houston Rockets,W,116,0.478,0.85,0.282,25,48,8,0,POR
0022301181,2024-04-12,2022-23,DET @ DAL,1610612765,DET,Detroit Pistons,W,107,0.484,0.778,0.258,23,40,6,0,DAL
0022301176,2024-04-12,2022-23,MIA vs. TOR,1610612748,MIA,Miami Heat,W,125,0.523,0.783,0.415,37,37,4,1,TOR
0022301176,2024-04-12,2022-23,TOR @ MIA,1610612761,TOR,Toronto Raptors,L,103,0.481,0.864,0.323,23,41,17,0,MIA
0022301178,2024-04-12,2022-23,MIN vs. ATL,1610612750,MIN,Minnesota Timberwolves,W,109,0.481,0.793,0.27,29,44,14,1,ATL
0022301181,2024-04-12,2022-23,DAL vs. DET,1610612742,DAL,Dallas Mavericks,L,89,0.434,0.75,0.276,20,49,20,1,DET
0022301174,2024-04-12,2022-23,CLE vs. IND,1610612739,CLE,Cleveland Cavaliers,W,129,0.526,0.696,0.406,28,41,9,1,IND
0022301172,2024-04-12,2022-23,CHI @ WAS,1610612741,CHI,Chicago Bulls,W,129,0.49,0.679,0.4,28,56,13,0,WAS
0022301177,2024-04-12,2022-23,LAL @ MEM,1610612747,LAL,Los Angeles Lakers,W,123,0.519,0.765,0.351,25,39,19,0,MEM
0022301173,2024-04-12,2022-23,BOS vs. CHA,1610612738,BOS,Boston Celtics,W,131,0.519,0.692,0.341,34,53,6,1,CHA
0022301178,2024-04-12,2022-23,ATL @ MIN,1610612737,ATL,Atlanta Hawks,L,106,0.444,0.68,0.3,23,40,14,0,MIN
0022301185,2024-04-12,2022-23,SAC vs. PHX,1610612758,SAC,Sacramento Kings,L,107,0.44,0.929,0.368,26,35,7,1,PHX
0022301171,2024-04-12,2022-23,PHI vs. ORL,1610612755,PHI,Philadelphia 76ers,W,125,0.477,0.821,0.486,22,44,11,1,ORL
0022301184,2024-04-12,2022-23,UTA @ LAC,1610612762,UTA,Utah Jazz,W,110,0.466,0.88,0.171,26,46,16,0,LAC
0022301174,2024-04-12,2022-23,IND @ CLE,1610612754,IND,Indiana Pacers,L,120,0.517,0.864,0.281,37,39,13,0,CLE
0022301183,2024-04-12,2022-23,POR vs. HOU,1610612757,POR,Portland Trail Blazers,L,107,0.389,0.724,0.343,20,48,7,1,HOU
0022301171,2024-04-12,2022-23,ORL @ PHI,1610612753,ORL,Orlando Magic,L,113,0.453,0.76,0.296,25,45,11,0,PHI
0022301173,2024-04-12,2022-23,CHA @ BOS,1610612766,CHA,Charlotte Hornets,L,98,0.421,0.864,0.429,20,33,19,0,BOS
0022301166,2024-04-11,2022-23,DET vs. CHI,1610612765,DET,Detroit Pistons,L,105,0.494,0.652,0.4,27,38,20,1,CHI
0022301168,2024-04-11,2022-23,UTA vs. HOU,1610612762,UTA,Utah Jazz,W,124,0.506,0.815,0.359,27,49,14,1,HOU
0022301168,2024-04-11,2022-23,HOU @ UTA,1610612745,HOU,Houston Rockets,L,121,0.421,0.909,0.447,22,39,10,0,UTA
0022301166,2024-04-11,2022-23,CHI @ DET,1610612741,CHI,Chicago Bulls,W,127,0.531,0.733,0.389,28,42,8,0,DET
0022301169,2024-04-11,2022-23,GSW @ POR,1610612744,GSW,Golden State Warriors,W,100,0.468,0.8,0.343,24,46,16,0,POR
0022301169,2024-04-11,2022-23,POR vs. GSW,1610612757,POR,Portland Trail Blazers,L,92,0.361,0.824,0.235,22,49,12,1,GSW
